secao,titulo,mensagem,data,ordem
Esta semana no bairro,TESTE - Manutenção na rede de água,"O SAAE informa que o abastecimento fica suspenso na terça-feira, das 8h às 14h, nas ruas 6, 7 e 8 do Conjunto Maguari. Guarde água na véspera.",2026-08-31,1
Esta semana no bairro,TESTE - Mutirão de limpeza no sábado,Encontro às 7h na Praça da Cultura. Traga luva e saco de lixo. O caminhão de entulho passa no mesmo dia à tarde.,2026-08-30,2
Esta semana no bairro,TESTE - Cachorro encontrado na Augusto Montenegro,"Cachorro caramelo, coleira vermelha, encontrado perto do ASSAÍ. Está na casa da dona Marta, rua 4.",2026-08-29,3
Achados e perdidos,"Objetos, documentos e chaves encontrados","Anúncio de objetos, documentos ou chaves encontrados nas ruas do bairro.",,4
Achados e perdidos,Pets desaparecidos,Busca por pets desaparecidos no bairro.,,5
Utilidade pública e alertas da vizinhança,Alertas de trânsito local,,,6
Utilidade pública e alertas da vizinhança,Água e energia,Avisos sobre desabastecimento de água ou manutenção na rede elétrica do bairro.,,7
Utilidade pública e alertas da vizinhança,Reuniões de moradores,Notificação de reuniões de moradores.,,8
Utilidade pública e alertas da vizinhança,Retirada de entulho,Dias e horários dos caminhões de retirada de entulho.,,9
Ações sociais e doações,Doações,"Doação de móveis, roupas, brinquedos e eletrodomésticos.",,10
Ações sociais e doações,Campanhas de arrecadação,Campanhas de arrecadação de alimentos ou agasalhos.,,11
Ações sociais e doações,Feiras e eventos culturais,Divulgação de feiras comunitárias e eventos culturais.,,12
Classificados de oportunidades,Caronas compartilhadas,Caronas compartilhadas para várias localidades.,,13
Classificados de oportunidades,Ponto de mototáxi,,,14
