categoria,subcategoria,nome,descricao,endereco,horario,entrega,telefone,telefone2
Alimentação,Açaí / Comidas Típicas,MAGUARI - Sabor do Açaí,"Açaí, farinha dágua e farinha de tapioca",Conj. Maguari - Principal com a 2,Todos os dias das 11h às 15h,A combinar,5591989828407,5591987440555
Alimentação,Açaí / Comidas Típicas,MAGUARI - Açaí duelvis,"Açaí popular e médio, farinha: d'agua, lavada e de tapioca",Conj. Maguari - Principal esquina da 6,Todos os dias das 9h às 14h,Grátis,5591982790105,5591982790105
Alimentação,Açaí / Comidas Típicas,MAGUARI - Companhia do Açaí,"Açaí grosso, médio e especial, farinha, polpa (encomenda)",Conj. Maguari - Principal entre 7 e 8,Todos os dias das 9h às 18h,Grátis,5591988341388,5591988341388
Alimentação,Açaí / Comidas Típicas,MAGUARI - Açaí Soares,"Açaí, todos os tipos de farinhas, ovos e goma","Augusto Montenegro, 8 em frente ao ASSAÍ",Todos os dias das 8h às 14h30 e das 15h às 18h,Grátis,5591991568351,5591991568351
Alimentação,Açaí / Comidas Típicas,MAGUARI - North Açaí,"Açaí popular, médio e grosso",Conj. Maguari - Alameda 11 - próximo a feira,Todos  os dias das 8h às 14h,Grátis,5591984196884,5591984196884
Alimentação,Açaí / Comidas Típicas,MAGUARI - Açaí Real,"Açaí: popular, média e grosso, farinha d'agua e de tapioca","Conj. Maguari - Principal, 25 - entre 17 e 20",Todos os dias das 8h às 20h,Grátis,5591981375217,5591984937608
Alimentação,Açaí / Comidas Típicas,TENONÉ - Açaí Paraense,"Açaí popular, médio e grosso",Tenoné - Rua 5a Linha,Todos os dias das 9h às 20h30,Grátis,5591993362048,5591993362048
Alimentação,Açaí / Comidas Típicas,MAGUARI - + Ki Açaí,"Açaí popular, médio e grosso, farinha e farinha de tapioca.",Maguari - Principal (feira do conjunto maguari) ao lado do mercadinho expresso.,Todos os dias das 8h00 às 14h30,Grátis,5591985517963,5591985573574
Alimentação,Água de Coco  / Coxinha / Tapioca,MAGUARI - Nosso Coco,"Água de coco na fruta, copo e litro",Conj. Maguari - Principal com a 3,Todos os dias das 8h às 13h e das 17h às 22h,A combinar,5591992197917,5591982983276
Alimentação,Frango Assado / Peixe Frito / Churrasquinho,MAGUARI - Cantinho do Churrasco,"Charrasco de carne, frango, linguiça e misto",Conj. Maguari - Principal com a 3,Todos os dias das 19h até 1h da manhã,A combinar,5591983821066,5591983821066
